S. No,Management of,Actions,Initiator,Approver,Executer,Post Execution Confirmation,Email Details,,
,,Actions for which request to be raised,The resource mentioned here needs to raise the request for an action,The request raised has to be approved by the authorised persons mentioned here against respective request,"On approval from the approver, the executor has to execute the request","Once the request is executed, the completion of the request should be acknowledged / confirmed as mentioned here.",,,
1,Application installations and upgrades,"Install External applications in Macbooks

External Applications - Applications other than those developed by Apple",Individual Employee to request installation mentioning the application to be installed along with the reason,Project Owner / Team Lead / Executives,Individual Employee to install with the help of Network team,Send a confirmation to Network team once the application is installed,"To : Project Owner  / Team Lead 
CC: network-team@mallow-tech.com,pm@mallow-tech.com, ciso@mallow-tech.com, Project BA

Subject : Request to install External Application",,`
2,,"Install External applications in mobiles / iPads / tablets 

External Applications - Applications those are not developed by Mallow",Individual Employee to request installation mentioning the application to be installed along with the reason,Yogesh (yogesh@mallow-tech.com) to approve.,Individual Employee to install with the help of Network team,Send a confirmation to Network team once the application is installed,"To : yogesh@mallow-tech.com, network-team@mallow-tech.com
CC: pm@mallow-tech.com, ciso@mallow-tech.com, Project BA, Project Owner, Team lead, Device Managers

Subject : Request to install External Application

Note:
Device Manager for iOS - arunachalam@mallow-tech.com
Device Manager for Android - dhanaprakash@mallow-tech.com",,
3,,Software upgrades / patches,Individual Employee to request the software upgrade,Team Lead / Project Owners to approve,Individual Employee to proceed the upgrade with the help of Network team,Send a confirmation to Network team once the upgrade is completed,"To : Project Owner  / Team lead  
CC: network-team@mallow-tech.com,pm@mallow-tech.com, ciso@mallow-tech.com, Project BA

Subject : Request for Software upgrade",,
4,Network restrictions,Approval to restricted sites,"Individual Employee to request access for restricted site, mentioning the reason",Team Lead / Project Owners to approve,Network Team to remove restriction on the requested site,Network team to confirm back to the requester that the restriction is revoked.,"To : Project Owner / Team lead
CC: network-team@mallow-tech.com,pm@mallow-tech.com, ciso@mallow-tech.com, Project BA

Subject : Request to access a restricted site",,
5,,To connect devices to Mallow’s Network(Personal Devices),Individual Employee to request access,Project Owner / Team Lead / Executives,Individual Employee to connect with the help of Network team,-,"To : Project Owner / Team Lead 
CC: network-team@mallow-tech.com,pm@mallow-tech.com, ciso@mallow-tech.com, Project BA

Subject : Request to Connect to Mallow's network",,
6,Email ID for Project,To create an email ID for a project,"BA / Project Owner / Senior Developer to request access, with the email ID that needs to be created mentioning the project name",Project Owner / Executives to approve,Network Team to create the requested email ID,Network team to confirm the requester on creation of the email ID,"To : network-team@mallow-tech.com, Project Owner, pm@mallow-tech.com
CC: ciso@mallow-tech.com, Project BA, Team lead

Subject : Request for creation of project email ID",,
7,,To add / remove user from forwarder list,BA / Project Owner / Senior Developer to request addition / removal of the users to the forwarder list,Project Owner / Executives to approve,Network Team to action the addition or removal of the users,Network team to confirm the requester that the request is actioned,"To : network-team@mallow-tech.com, Project Owner, pm@mallow-tech.com
CC: ciso@mallow-tech.com, Project BA, Team lead

Subject : Request for addition / removal of user in the forwarder list",,
8,Bitbucket Access,Access for an existing repository in Bitbucket,Developers to request mentioning the project and the Repo name.,Project Owner / Executives Team to approve,Network Team to give access,Network team to inform the requester Back that the access if granted,"To : Project Owner, pm@mallow-tech.com, network-team@mallow-tech.com,
CC:  ciso@mallow-tech.com, Project BA, Team lead, Reporting Person Email ID

Subject : Request of Bit Bucket access for xxxx Project ",,
9,,Create a new reporsitory,"Senior Developer to request, mentioning the project and the name of the repository to be created",Project Owner / Executives Team to approve,Network Team to create the requested repository,Network team to inform the requester back that the repository is created,"To : Project Owner, pm@mallow-tech.com, network-team@mallow-tech.com,
CC:  ciso@mallow-tech.com, Project BA, Team lead

Subject : Request for creation of a new repository",,
10,AWS Account,Separate AWS Account Creation for a Project,Senior developer to request creation mentioning the project name,Senior developer to request creation mentioning the project name,DevOps resource (Mounickraj / Abishek) to create the account,"DevOps team (Mounickraj / Abishek ) to confirm back the requester that the AWS account has been created along with the credential details (If applicable)

Note: For Internal Project, please Network team and client projects DevOps team","To : Project Owner, pm@mallow-tech.com, mounickraj@mallow-tech.com, abishek@mallow-tech.com, network-team@mallow-tech.com 

CC: ciso@mallow-tech.com, Project BA, Team lead

Subject : Request for addition / removal of user in the forwarder list""",,
11,,Access for the project’s AWS account managed by Mallow / Client,Respective developer to request access mentioning the reason,Project Owner to approve,Project’s AWS account Admin to grant access (Mounickraj / Abishek),"Project’s AWS account Admin to confirm on the completion of the request.

Note: 
1. User needs to login with SSO.
2. For Internal Project, please contact Network team instead of DevOps team.
3. Even for client project (If the Root user is client and IAM user is from Mallow), we need the email approval and user needs to login with SSO.","To : Project Owner, mounickraj@mallow-tech.com / abishek@mallow-tech.com, network-team@mallow-tech.com 

CC : pm@mallow-tech.com, ciso@mallow-tech.com, Project BA, devops-team@mallow-tech.com, network-team@mallow-tech.com

Subject : Access for the project’s AWS account",,
12,,Creation or Amendment to IAM users / policies in AWS,Individual Employee to request,Project Owner to approve,Particular project's AWS account Admin (Mounickraj / Abishek),"The Project’s AWS account admin to confirm back on the completion of the request.

Note: For Internal Project, please Network team and client projects DevOps team","To : Project Owner, mounickraj@mallow-tech.com / abishek@mallow-tech.com, network-team@mallow-tech.com 

CC : pm@mallow-tech.com, ciso@mallow-tech.com, Project BA, Reporting Person Email ID, network-team@mallow-tech.com

Subject : Creation or Amendment to IAM users / policies",,
